"REF_DATE","GEO","DGUID","Prices","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1997","British Columbia","2021A000259","Current dollars","All industries [T001]","Dollars","81","millions","6","v1793288463","10.1.1","108373.6","","","","1"
"1998","British Columbia","2021A000259","Current dollars","All industries [T001]","Dollars","81","millions","6","v1793288463","10.1.1","109423.5","","","","1"
"1999","British Columbia","2021A000259","Current dollars","All industries [T001]","Dollars","81","millions","6","v1793288463","10.1.1","114981.5","","","","1"
"2000","British Columbia","2021A000259","Current dollars","All industries [T001]","Dollars","81","millions","6","v1793288463","10.1.1","125347.5","","","","1"
"2001","British Columbia","2021A000259","Current dollars","All industries [T001]","Dollars","81","millions","6","v1793288463","10.1.1","127501.5","","","","1"
"2002","British Columbia","2021A000259","Current dollars","All industries [T001]","Dollars","81","millions","6","v1793288463","10.1.1","131583.4","","","","1"
"2003","British Columbia","2021A000259","Current dollars","All industries [T001]","Dollars","81","millions","6","v1793288463","10.1.1","138849.4","","","","1"
"2004","British Columbia","2021A000259","Current dollars","All industries [T001]","Dollars","81","millions","6","v1793288463","10.1.1","151108.5","","","","1"
"2005","British Columbia","2021A000259","Current dollars","All industries [T001]","Dollars","81","millions","6","v1793288463","10.1.1","162977.4","","","","1"
"2006","British Columbia","2021A000259","Current dollars","All industries [T001]","Dollars","81","millions","6","v1793288463","10.1.1","175597.8","","","","1"
"2007","British Columbia","2021A000259","Current dollars","All industries [T001]","Dollars","81","millions","6","v1793288463","10.1.1","184643.0","","","","1"
"2008","British Columbia","2021A000259","Current dollars","All industries [T001]","Dollars","81","millions","6","v1793288463","10.1.1","191673.3","","","","1"
"2009","British Columbia","2021A000259","Current dollars","All industries [T001]","Dollars","81","millions","6","v1793288463","10.1.1","183210.0","","","","1"
"2010","British Columbia","2021A000259","Current dollars","All industries [T001]","Dollars","81","millions","6","v1793288463","10.1.1","191124.3","","","","1"
"2011","British Columbia","2021A000259","Current dollars","All industries [T001]","Dollars","81","millions","6","v1793288463","10.1.1","202292.9","","","","1"
"2012","British Columbia","2021A000259","Current dollars","All industries [T001]","Dollars","81","millions","6","v1793288463","10.1.1","206717.0","","","","1"
"2013","British Columbia","2021A000259","Current dollars","All industries [T001]","Dollars","81","millions","6","v1793288463","10.1.1","214197.4","","","","1"
"2014","British Columbia","2021A000259","Current dollars","All industries [T001]","Dollars","81","millions","6","v1793288463","10.1.1","225863.5","","","","1"
"2015","British Columbia","2021A000259","Current dollars","All industries [T001]","Dollars","81","millions","6","v1793288463","10.1.1","231725.6","","","","1"
"2016","British Columbia","2021A000259","Current dollars","All industries [T001]","Dollars","81","millions","6","v1793288463","10.1.1","243317.3","","","","1"
"2017","British Columbia","2021A000259","Current dollars","All industries [T001]","Dollars","81","millions","6","v1793288463","10.1.1","260220.6","","","","1"
"2018","British Columbia","2021A000259","Current dollars","All industries [T001]","Dollars","81","millions","6","v1793288463","10.1.1","274392.6","","","","1"
"2019","British Columbia","2021A000259","Current dollars","All industries [T001]","Dollars","81","millions","6","v1793288463","10.1.1","286182.3","","","","1"
"2020","British Columbia","2021A000259","Current dollars","All industries [T001]","Dollars","81","millions","6","v1793288463","10.1.1","287202.1","","","","1"
"2021","British Columbia","2021A000259","Current dollars","All industries [T001]","Dollars","81","millions","6","v1793288463","10.1.1","330874.0","","","","1"
"2022","British Columbia","2021A000259","Current dollars","All industries [T001]","Dollars","81","millions","6","v1793288463","10.1.1","372203.6","","","","1"
"2023","British Columbia","2021A000259","Current dollars","All industries [T001]","Dollars","81","millions","6","v1793288463","10.1.1","","..","","","1"
"2024","British Columbia","2021A000259","Current dollars","All industries [T001]","Dollars","81","millions","6","v1793288463","10.1.1","","..","","","1"
"1997","British Columbia","2021A000259","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v1793288710","10.2.1","153730.8","","","","1"
"1998","British Columbia","2021A000259","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v1793288710","10.2.1","155485.2","","","","1"
"1999","British Columbia","2021A000259","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v1793288710","10.2.1","161126.4","","","","1"
"2000","British Columbia","2021A000259","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v1793288710","10.2.1","168860.5","","","","1"
"2001","British Columbia","2021A000259","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v1793288710","10.2.1","169704.8","","","","1"
"2002","British Columbia","2021A000259","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v1793288710","10.2.1","176153.6","","","","1"
"2003","British Columbia","2021A000259","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v1793288710","10.2.1","180557.4","","","","1"
"2004","British Columbia","2021A000259","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v1793288710","10.2.1","187960.3","","","","1"
"2005","British Columbia","2021A000259","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v1793288710","10.2.1","196982.4","","","","1"
"2006","British Columbia","2021A000259","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v1793288710","10.2.1","206043.6","","","","1"
"2007","British Columbia","2021A000259","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v1793288710","10.2.1","212018.8","","","","1"
"2008","British Columbia","2021A000259","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v1793288710","10.2.1","213156.9","","","","1"
"2009","British Columbia","2021A000259","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v1793288710","10.2.1","207766.0","","","","1"
"2010","British Columbia","2021A000259","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v1793288710","10.2.1","213519.4","","","","1"
"2011","British Columbia","2021A000259","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v1793288710","10.2.1","220199.5","","","","1"
"2012","British Columbia","2021A000259","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v1793288710","10.2.1","225425.6","","","","1"
"2013","British Columbia","2021A000259","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v1793288710","10.2.1","230299.9","","","","1"
"2014","British Columbia","2021A000259","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v1793288710","10.2.1","238400.2","","","","1"
"2015","British Columbia","2021A000259","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v1793288710","10.2.1","243699.9","","","","1"
"2016","British Columbia","2021A000259","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v1793288710","10.2.1","250904.2","","","","1"
"2017","British Columbia","2021A000259","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v1793288710","10.2.1","260220.6","","","","1"
"2018","British Columbia","2021A000259","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v1793288710","10.2.1","270142.4","","","","1"
"2019","British Columbia","2021A000259","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v1793288710","10.2.1","277885.4","","","","1"
"2020","British Columbia","2021A000259","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v1793288710","10.2.1","269240.0","","","","1"
"2021","British Columbia","2021A000259","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v1793288710","10.2.1","290195.6","","","","1"
"2022","British Columbia","2021A000259","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v1793288710","10.2.1","303796.6","","","","1"
"2023","British Columbia","2021A000259","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v1793288710","10.2.1","312392.2","","","","1"
"2024","British Columbia","2021A000259","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v1793288710","10.2.1","316109.4","","","","1"


